YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,day
2019,4,2,2,2019-04-02,TUS,IAH,1048.0,1035.0,0,,0,113.0,936,1035.0,0.0,0.0,0.0,0.0,Tuesday
2019,4,23,2,2019-04-23,IAH,PNS,643.0,635.0,0,,0,64.0,489,635.0,0.0,0.0,0.0,0.0,Tuesday
2019,4,7,7,2019-04-07,CLT,IAH,421.0,409.0,0,,0,144.0,912,0.0,0.0,0.0,0.0,409.0,Sunday
2019,4,7,7,2019-04-07,IAH,ELP,840.0,851.0,0,,0,89.0,667,0.0,851.0,0.0,0.0,0.0,Sunday
2019,4,7,7,2019-04-07,IAH,SLC,408.0,379.0,0,,0,155.0,1195,0.0,379.0,0.0,0.0,0.0,Sunday
2019,4,7,7,2019-04-07,MAF,IAH,381.0,372.0,0,,0,67.0,429,0.0,0.0,0.0,0.0,372.0,Sunday
2019,4,7,7,2019-04-07,BNA,IAH,400.0,411.0,0,,0,130.0,657,0.0,0.0,0.0,0.0,411.0,Sunday
2019,4,8,1,2019-04-08,ELP,IAH,430.0,453.0,0,,0,93.0,667,0.0,0.0,0.0,0.0,453.0,Monday
2019,4,5,5,2019-04-05,IAH,DFW,738.0,747.0,0,,0,51.0,224,0.0,0.0,0.0,0.0,747.0,Friday
2019,4,7,7,2019-04-07,SLC,IAH,399.0,393.0,0,,0,157.0,1195,0.0,0.0,0.0,0.0,393.0,Sunday
2019,4,19,5,2019-04-19,RSW,BDL,418.0,415.0,0,,0,141.0,1180,0.0,0.0,415.0,0.0,0.0,Friday
2019,4,19,5,2019-04-19,RSW,BWI,390.0,378.0,0,,0,109.0,919,0.0,353.0,0.0,0.0,25.0,Friday
2019,4,19,5,2019-04-19,SEA,PHX,398.0,384.0,0,,0,148.0,1107,273.0,0.0,0.0,0.0,111.0,Friday
2019,4,14,7,2019-04-14,ATL,MDW,591.0,568.0,0,,0,77.0,591,0.0,0.0,407.0,0.0,161.0,Sunday
2019,4,14,7,2019-04-14,ATL,MDW,373.0,363.0,0,,0,83.0,591,0.0,0.0,304.0,0.0,59.0,Sunday
2019,4,14,7,2019-04-14,AUS,BWI,412.0,398.0,0,,0,167.0,1342,0.0,0.0,0.0,0.0,398.0,Sunday
2019,4,14,7,2019-04-14,BUF,MDW,423.0,414.0,0,,0,77.0,468,0.0,0.0,413.0,0.0,1.0,Sunday
2019,4,14,7,2019-04-14,GRR,MDW,400.0,482.0,0,,0,36.0,137,0.0,0.0,407.0,0.0,75.0,Sunday
2019,4,15,1,2019-04-15,SAT,DFW,1284.0,1268.0,0,,0,40.0,247,1245.0,0.0,0.0,0.0,23.0,Monday
2019,4,15,1,2019-04-15,RDU,DFW,362.0,353.0,0,,0,159.0,1061,18.0,0.0,0.0,0.0,335.0,Monday
2019,4,14,7,2019-04-14,MIA,LAX,388.0,392.0,0,,0,324.0,2342,388.0,0.0,4.0,0.0,0.0,Sunday
